sample_id	cluster	cuproptosis	disulfidptosis	ferroptosis
TCGA-IB-A5SS-01A-11R-A32O-07	C1	-0.0818171703556372	0.756829743120678	0.482634141598507
TCGA-IB-A5ST-01A-11R-A32O-07	C1	0.187555830709524	-0.0373565104471527	0.183047986198381
TCGA-IB-A6UF-01A-23R-A33R-07	C1	0.426969469764474	0.328409162702142	0.0532441485756118
TCGA-IB-A6UG-01A-32R-A33R-07	C1	-0.0265401188311274	-0.171568489069007	-0.14619048149238
TCGA-IB-A7LX-01A-12R-A36G-07	C1	-0.35347280675191	0.326825688905202	0.287785335538816
TCGA-IB-A7M4-01A-11R-A36G-07	C1	0.134677240785115	-0.0326917639987827	0.532271654296908
TCGA-IB-AAUM-01A-11R-A37L-07	C3	-0.45210841630136	-1.10216975124649	-1.06422697431605
TCGA-IB-AAUN-01A-12R-A38C-07	C1	-0.335357099545861	0.106033984471631	-0.214875232998098
TCGA-IB-AAUO-01A-12R-A38C-07	C1	-0.443516600177505	-0.334278259046802	0.102039933828703
TCGA-IB-AAUP-01A-11R-A37L-07	C2	0.268130570977507	0.0550177338172302	0.114282100263202
TCGA-IB-AAUQ-01A-22R-A41I-07	C1	-0.648495933360141	-0.505397713542235	-0.394077941878886
TCGA-IB-AAUR-01A-21R-A38C-07	C2	-0.132545948305395	-0.242980193627751	0.101048936311496
TCGA-IB-AAUS-01A-12R-A38C-07	C1	-0.166385315592728	-0.119720005870409	0.356959495501863
TCGA-IB-AAUT-01A-11R-A37L-07	C1	-0.423352134712424	-0.611828180269129	-0.321254654748888
TCGA-IB-AAUU-01A-11R-A37L-07	C1	-0.0193963045705029	0.744024508911694	0.408573127090332
TCGA-IB-AAUV-01A-11R-A38C-07	C1	0.481822323500897	0.201852744908341	0.506665353203234
TCGA-IB-AAUW-01A-12R-A38C-07	C3	0.858719747850527	0.340757670055365	0.412956876294879
TCGA-L1-A7W4-01A-12R-A36G-07	C1	0.45669096698172	0.609725682320949	0.386426227751521
TCGA-LB-A7SX-01A-11R-A33R-07	C1	0.444699433864959	0.0916719496057174	0.172241704905419
TCGA-LB-A8F3-01A-11R-A36G-07	C1	-0.25949703254161	-0.407797208452903	-0.19924211852535
TCGA-LB-A9Q5-01A-11R-A39D-07	C2	-1.32079465216062	-1.15808987236603	-1.13469620006604
TCGA-M8-A5N4-01A-11R-A26U-07	C1	-0.81032320842262	-0.129774999971657	-0.448806006336246
TCGA-OE-A75W-01A-12R-A32O-07	C1	-0.530833021972048	-0.171968294862204	0.030262123228389
TCGA-PZ-A5RE-01A-11R-A32O-07	C1	-0.0653605092734709	0.56825239011262	0.537315643716016
TCGA-Q3-A5QY-01A-12R-A32O-07	C2	-0.156028274058267	-0.711934152555242	-0.190540326796946
TCGA-Q3-AA2A-01A-11R-A37L-07	C1	-0.909975027461822	-0.896546935329269	-0.667977976874072
TCGA-RB-A7B8-01A-12R-A33R-07	C1	-0.549311813587798	-0.479705946093368	-0.266178558334355
TCGA-RB-AA9M-01A-11R-A39D-07	C1	0.41529751433908	0.221019658733755	0.132993975130909
TCGA-RL-AAAS-01A-32R-A39D-07	C1	-0.0332066361963814	-0.375748644506632	-0.106705406708934
TCGA-S4-A8RM-01A-11R-A37L-07	C1	0.395616642146715	0.526122238317594	0.309020894165587
TCGA-S4-A8RO-01A-12R-A37L-07	C1	0.162163073822528	-0.191221840668384	0.142061247484221
TCGA-S4-A8RP-01A-11R-A36G-07	C1	-0.118858880861874	-0.157212391210743	-0.327632177951034
TCGA-US-A774-01A-21R-A32O-07	C3	0.395220807628193	0.108166688806444	0.270995480472685
TCGA-US-A776-01A-13R-A33R-07	C1	-0.0885271766521081	-0.134125285819394	-0.299106460816277
TCGA-US-A779-01A-11R-A32O-07	C1	0.0588472908321214	0.0560932782606602	0.0767531409696246
TCGA-US-A77E-01A-11R-A32O-07	C1	0.23262518306283	0.460538044764437	0.140352989442746
TCGA-US-A77G-01A-11R-A32O-07	C1	0.0418332999692911	0.754634474547294	0.293811167236108
TCGA-US-A77J-01A-11R-A32O-07	C2	-0.617908884138198	-0.933080259260937	-0.337180855023947
TCGA-XD-AAUG-01A-61R-A41B-07	C2	-0.788189357961181	-0.968330859342811	-0.851792326910586
TCGA-XD-AAUH-01A-42R-A41B-07	C3	-0.0110811533664761	-0.496832035562868	-0.17310810873174
TCGA-XD-AAUI-01A-42R-A41B-07	C1	0.20376476950768	0.136294432053592	0.116191766672006
