gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ZFP36L2	0.0686352994932546	7.20717589779006	0.374772666004259	0.708277008282505	0.813479199858856	-6.50068088673213
ZNF528-AS1	0.0622712143617648	2.14276247950536	0.37470760531078	0.708325313410992	0.813494281883475	-5.99581155329607
EXOSC8	-0.0289570229532599	4.14419114215416	-0.374227792527169	0.708681592966225	0.813863045936881	-6.34597002706972
EVA1A	-0.0900162670071674	3.33240155566099	-0.374136361240375	0.70874949152874	0.813900607749588	-6.1891090060783
AC139491.7	-0.167434153337544	-1.98806010764126	-0.373982486544639	0.708863766989173	0.813978424024638	-5.68161183952507
COL13A1	0.0704038305382837	2.71676445499063	0.373950337490063	0.708887643406445	0.813978424024638	-6.07226252487996
ABCF1	0.0276004748501046	6.42457256793737	0.373726415489121	0.709053953501322	0.814128969695605	-6.51757355978132
AC105916.1	-0.100670418228525	-2.57965253856582	-0.373637054610035	0.709120327017869	0.814142209814867	-5.61116007094891
TPD52	0.0620768016282689	6.35111090579319	0.37356671034245	0.709172577358724	0.814142209814867	-6.51781561349459
ARHGEF1	0.0409868650193044	7.1789859714804	0.373509338704255	0.709215192906694	0.814142209814867	-6.49014703531085
ZNF512	-0.0327741551086955	4.49622281119058	-0.373478825353664	0.709237858541549	0.814142209814867	-6.39482005012078
TLK1	-0.0232144693482104	5.82999205065633	-0.373472722131818	0.709242392109499	0.814142209814867	-6.50725043275466
LLPH	0.0308048785099344	3.67194984065333	0.373426543984401	0.709276694290892	0.814142209814867	-6.24016376103116
AC017104.1	-0.0574145676652162	0.500794195625843	-0.373297614125792	0.709372469477491	0.814188616524898	-5.86166182629822
AC090510.2	-0.0733406332595514	-2.85517162001567	-0.373218039785363	0.709431583366527	0.814188616524898	-5.58788427831468
AC093827.4	-0.0374788598446583	0.868133033267386	-0.373149451178172	0.709482537630688	0.814188616524898	-5.86812018577488
FAM156A	0.0571376370930263	-2.41212057516051	0.373107022192958	0.709514058648654	0.814188616524898	-5.61527194742375
CFAP92	-0.0696867064138688	0.704612665810895	-0.373079013318747	0.709534867062537	0.814188616524898	-5.86473867835558
WASHC2A	0.0270583283561896	5.01986542395269	0.373047634007904	0.709558179708061	0.814188616524898	-6.44939548966098
SLC7A11-AS1	0.131041974375652	-2.95489428734846	0.373040407264288	0.709563548714798	0.814188616524898	-5.55821033344508
LINC01145	0.0599955393070473	1.22724901969978	0.372595304884902	0.709894259243644	0.81452767910835	-5.90285512722402
SPC25	0.0642500430831889	2.08121470934983	0.372191960783038	0.710193991027193	0.814831165020186	-5.98846548785458
AC004908.2	0.0679930316936424	-1.30516278303805	0.371859894771177	0.710440788803208	0.815073220536406	-5.7304073835547
MNDA	-0.0996145980906458	3.05219998113397	-0.371805516098898	0.710481206985542	0.815073220536406	-6.08880383519174
AL162231.2	-0.0589589733561426	1.18129672588674	-0.371746718729892	0.710524910388461	0.815073220536406	-5.90332684106301
AL390726.5	0.125839016814719	-2.48390843411876	0.371718439777807	0.710545930147657	0.815073220536406	-5.5987239317185
TESK2	-0.0433158406845209	1.82217226928869	-0.371647202043519	0.710598882175214	0.815093535036867	-5.95630967233732
TET1	0.0468934175705579	0.544103076838485	0.371415613586091	0.710771034923269	0.815250570110363	-5.8363299536882
NCOA4	-0.0243990355158514	7.31898113139949	-0.37117553242011	0.710949516488831	0.815414848368643	-6.49854451744477
FNDC11	0.102024282041004	0.398587502783074	0.370914982708148	0.711143232901683	0.815596582889523	-5.8550409684302
ASPRV1	-0.0531091781709528	0.555561632470749	-0.370860255772629	0.711183924286713	0.815602806609961	-5.85220023054252
AC108479.1	0.0756382605884098	-1.31858915194492	0.370329881718664	0.711578318869075	0.816014644922846	-5.72789656049424
RRM2P3	-0.106570083684679	-3.10387973333104	-0.370231096046734	0.711651786069055	0.816058431662705	-5.54356583681315
SEZ6L2	-0.0610901691966443	6.65948564280713	-0.370157337500715	0.711706642281228	0.816080873707498	-6.51250176247565
COL11A2	0.124711695883108	0.802861585440569	0.369667328956303	0.712071112997927	0.81643470118844	-5.8852849098843
L3MBTL4	-0.0905098045251891	1.89406082883253	-0.369647561222627	0.712085817726271	0.81643470118844	-5.96102134689655
SYN2	-0.110134863217181	0.589516088757272	-0.369323362868995	0.71232699626848	0.816646253164485	-5.8435867567335
GABBR2	-0.12712489240581	-1.69936923679168	-0.369277327586006	0.712361245317833	0.816646253164485	-5.70973767430303
IL12RB1	0.0794894508301818	2.09912894783721	0.369257145153666	0.712376260705357	0.816646253164485	-5.97390716278908
HELLPAR	-0.0741824972257738	-0.890373113954995	-0.36909740518538	0.712495108500444	0.816742013748923	-5.76530469060251
PFN4	-0.0526787277398798	-0.656543915430641	-0.368732256346173	0.712766808554928	0.817012972605362	-5.78933749727073
OTOP3	0.195928708151659	-2.94088398289784	0.368234001759682	0.713137609273022	0.817372461362679	-5.51755306538751
CLPS	0.502418924515553	2.45726420679073	0.368213833299022	0.713152620067766	0.817372461362679	-5.951977277577
