accession	file_source	full_path	file_name	ext	size_bytes	likely_matrix	likely_barcodes	likely_features	likely_metadata	likely_seurat_object
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204122_P14_matrix.mtx.gz"	"GSM6204122_P14_matrix.mtx.gz"	"gz"	129928467	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204123_P15_barcodes.tsv.gz"	"GSM6204123_P15_barcodes.tsv.gz"	"gz"	58412	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204123_P15_features.tsv.gz"	"GSM6204123_P15_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204123_P15_matrix.mtx.gz"	"GSM6204123_P15_matrix.mtx.gz"	"gz"	111639752	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204124_P16_barcodes.tsv.gz"	"GSM6204124_P16_barcodes.tsv.gz"	"gz"	23711	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204124_P16_features.tsv.gz"	"GSM6204124_P16_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204124_P16_matrix.mtx.gz"	"GSM6204124_P16_matrix.mtx.gz"	"gz"	32588144	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204125_P17_barcodes.tsv.gz"	"GSM6204125_P17_barcodes.tsv.gz"	"gz"	59472	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204125_P17_features.tsv.gz"	"GSM6204125_P17_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204125_P17_matrix.mtx.gz"	"GSM6204125_P17_matrix.mtx.gz"	"gz"	70401102	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204126_P18_barcodes.tsv.gz"	"GSM6204126_P18_barcodes.tsv.gz"	"gz"	105156	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204126_P18_features.tsv.gz"	"GSM6204126_P18_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204126_P18_matrix.mtx.gz"	"GSM6204126_P18_matrix.mtx.gz"	"gz"	194631661	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204127_P19_barcodes.tsv.gz"	"GSM6204127_P19_barcodes.tsv.gz"	"gz"	92172	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204127_P19_features.tsv.gz"	"GSM6204127_P19_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204127_P19_matrix.mtx.gz"	"GSM6204127_P19_matrix.mtx.gz"	"gz"	117600219	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204128_P20_barcodes.tsv.gz"	"GSM6204128_P20_barcodes.tsv.gz"	"gz"	62307	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204128_P20_features.tsv.gz"	"GSM6204128_P20_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204128_P20_matrix.mtx.gz"	"GSM6204128_P20_matrix.mtx.gz"	"gz"	50694413	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204129_P21_barcodes.tsv.gz"	"GSM6204129_P21_barcodes.tsv.gz"	"gz"	23165	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204129_P21_features.tsv.gz"	"GSM6204129_P21_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204129_P21_matrix.mtx.gz"	"GSM6204129_P21_matrix.mtx.gz"	"gz"	36037709	"YES"	"NO"	"NO"	"NO"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204130_P22_barcodes.tsv.gz"	"GSM6204130_P22_barcodes.tsv.gz"	"gz"	55320	"NO"	"YES"	"NO"	"YES"	"NO"
"GSE205013"	"extracted"	"06_scRNA/01_raw_data/GSE205013/extracted/GSM6204130_P22_features.tsv.gz"	"GSM6204130_P22_features.tsv.gz"	"gz"	333437	"NO"	"NO"	"YES"	"YES"	"NO"
