gene_symbol_std	gene_symbol	n_record	n_contrast	n_pathway	pathway_list	contrast_list	max_abs_logFC	signed_logFC	min_adjP	max_abs_t	is_mcd_gene	death_type	tier	score
ITGB3	ITGB3	4	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	0.703430354123739	0.703430354123739	0.0124241043710407	2.99959731979075	FALSE			7
DAB2	DAB2	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.700060668136368	0.700060668136368	7.70950897385841e-05	4.40343603307932	FALSE			7
CCL5	CCL5	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.682660794478348	0.682660794478348	0.00305608389697557	3.30542794045597	FALSE			7
VCAM1	VCAM1	4	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.667599943398775	0.667599943398775	0.00878376981840315	2.93260191028219	FALSE			7
ICAM1	ICAM1	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.661577874079091	0.661577874079091	0.0235961250375956	2.73013175776895	FALSE			7
PDGFRB	PDGFRB	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.656741230447341	0.656741230447341	0.000440295364284308	3.91301902583145	FALSE			7
HIF1A	HIF1A	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.60280287094983	0.60280287094983	1.25180549385295e-05	4.8747532572742	FALSE			7
TNFRSF1B	TNFRSF1B	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	0.522403536094273	0.522403536094273	0.00264095013719961	3.3537041282433	FALSE			7
FAS	FAS	4	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.5214233847022	0.5214233847022	0.0090358766341899	3.12485336419833	FALSE			7
ATP2C1	ATP2C1	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.4562199979079	0.4562199979079	0.000107415685373625	4.61653027294926	FALSE			7
NAMPT	NAMPT	4	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_INTERFERON_GAMMA_RESPONSE	high_vs_low; high_vs_intermediate	0.392467220703154	0.392467220703154	0.00839541063017556	2.94935334586942	FALSE			7
POLR2F	POLR2F	4	2	2	HALLMARK_DNA_REPAIR; HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.387329601011596	-0.387329601011596	3.08416427740129e-05	4.64354927657386	FALSE			7
SLC7A1	SLC7A1	3	2	2	HALLMARK_INFLAMMATORY_RESPONSE; HALLMARK_UV_RESPONSE_DN	high_vs_low; high_vs_intermediate	0.364024004918456	0.364024004918456	0.00216559171251554	3.41954830282978	FALSE			7
SURF1	SURF1	4	2	2	HALLMARK_DNA_REPAIR; HALLMARK_OXIDATIVE_PHOSPHORYLATION	high_vs_low; high_vs_intermediate	0.361063444044835	-0.361063444044835	0.00146236468242004	3.54532243928322	FALSE			7
ID2	ID2	3	2	2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION; HALLMARK_KRAS_SIGNALING_UP	high_vs_low; high_vs_intermediate	0.334579234924828	0.334579234924828	0.0149700777489652	2.75079870900924	FALSE			7
TNFRSF11B	TNFRSF11B	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.46458227414583	1.46458227414583	0.00318716675216431	3.51577804836713	FALSE			7
GREM1	GREM1	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.44068267824086	1.44068267824086	0.000863087755260672	3.71153409616589	FALSE			7
THBS2	THBS2	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.44028634974856	1.44028634974856	0.000228466997911141	4.10422672331546	FALSE			7
OLR1	OLR1	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.42731916524477	1.42731916524477	0.00938381880389185	3.1095501951625	FALSE			7
ANPEP	ANPEP	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.42644982761759	1.42644982761759	0.00499597897952796	3.35552238346041	FALSE			7
VCAN	VCAN	2	2	1	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	high_vs_low; high_vs_intermediate	1.34212992177615	1.34212992177615	0.000124042703032179	4.27439704168559	FALSE			7
AQP9	AQP9	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.32373573190451	1.32373573190451	0.00345013449311205	3.48682792470088	FALSE			7
PROK2	PROK2	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.2941465883169	1.2941465883169	2.1712745794393e-05	4.73561104800346	FALSE			7
TNFSF15	TNFSF15	2	2	1	HALLMARK_INFLAMMATORY_RESPONSE	high_vs_low; high_vs_intermediate	1.29387471649259	1.29387471649259	8.47645783007602e-05	4.68835144405904	FALSE			7
